age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country
40,62,10,9,43,60,45,75,0,51,72
39,56,10,9,40,9,29,4,0,40,72
22,56,14,10,43,24,50,75,0,20,72
47,56,15,13,40,60,29,75,0,60,72
43,18,14,10,76,16,73,1,1,15,72
53,56,15,13,40,16,29,75,0,50,72
28,66,14,10,43,0,45,75,1,38,72
45,63,7,6,40,9,29,75,0,65,72
26,56,10,9,11,60,73,75,1,30,72
20,56,10,9,43,60,50,75,1,35,72
44,56,13,11,40,16,29,75,0,40,72
24,56,14,10,40,0,29,75,0,15,72
19,56,14,10,43,60,47,75,0,40,72
59,56,5,4,11,70,45,75,0,40,72
29,56,10,9,40,24,77,75,1,40,42
54,63,7,6,40,60,29,75,0,65,72
20,56,14,10,43,60,45,75,1,40,72
65,63,10,9,40,16,29,75,0,59,72
25,56,9,8,43,48,47,75,0,40,72
28,56,10,9,43,16,45,75,1,45,72
24,56,14,10,43,24,50,75,0,30,72
33,56,10,9,40,38,29,75,0,40,72
37,56,13,11,40,57,77,75,1,35,72
37,56,15,13,43,16,45,75,0,40,72
48,63,10,9,40,9,29,75,0,40,72
33,63,14,10,43,17,45,75,0,72,72
41,56,10,9,40,38,29,75,0,40,42
38,56,10,9,40,16,29,75,0,50,72
43,56,10,9,43,57,45,75,0,40,72
54,63,14,10,40,60,29,75,0,40,72
71,56,6,5,40,48,29,75,0,40,72
19,56,14,10,43,68,50,75,0,16,72
45,56,14,10,40,70,29,75,0,48,72
59,63,5,4,40,17,29,75,0,70,72
43,56,14,10,40,48,29,75,0,48,72
20,56,10,9,43,0,45,75,1,40,72
28,56,10,9,40,16,29,75,0,45,72
56,56,6,5,40,70,29,4,0,40,72
29,56,16,14,43,57,45,4,0,42,72
44,18,10,9,11,0,73,4,1,40,72
32,18,10,9,43,16,73,75,1,40,72
44,37,15,13,40,57,29,75,0,50,72
42,56,10,9,11,38,45,75,0,55,72
48,62,15,13,40,16,29,75,0,40,72
24,56,10,9,43,0,45,75,1,40,72
58,56,14,10,40,16,29,75,0,45,72
57,56,11,15,40,57,29,75,0,60,72
25,56,10,9,43,24,45,75,0,35,72
74,63,17,16,41,57,45,75,0,25,72
19,56,10,9,43,60,50,75,0,50,72
31,56,10,9,40,38,29,75,0,40,72
19,56,10,9,43,70,50,75,0,45,72
40,37,15,13,40,57,29,75,0,48,72
28,56,15,13,64,16,45,75,1,50,72
38,56,13,11,40,57,29,3,0,36,52
22,56,15,13,43,16,50,75,1,40,72
45,56,15,13,40,57,29,75,0,40,72
18,56,10,9,43,48,50,75,0,12,72
60,56,5,4,40,38,29,75,0,40,53
25,56,14,10,43,48,45,3,1,34,72
39,63,10,9,40,17,29,75,0,40,72
41,56,14,10,40,60,29,75,0,50,72
46,56,10,9,43,24,47,75,0,5,72
39,37,15,13,11,0,73,75,1,35,72
26,56,7,6,43,9,45,75,0,55,59
54,66,14,10,40,58,29,75,0,40,72
65,56,15,13,43,16,45,75,0,40,72
40,56,14,10,11,0,50,75,1,44,72
20,56,14,10,43,48,50,75,1,20,72
52,63,10,9,40,60,29,75,0,55,72
39,56,8,7,11,70,50,75,0,40,72
51,63,11,15,40,57,29,46,0,70,30
30,56,16,14,40,57,29,3,0,40,72
48,56,15,13,40,60,29,75,0,45,72
48,37,16,14,11,57,73,75,1,80,72
66,56,16,14,40,60,29,75,0,40,72
23,56,15,13,43,60,45,75,1,40,72
27,37,15,13,40,58,29,75,0,45,72
51,56,16,14,40,16,29,75,0,50,72
33,56,14,10,40,16,29,75,0,45,72
17,56,7,6,43,48,50,75,1,10,72
46,63,10,9,40,16,77,75,1,50,72
54,56,3,3,41,48,73,4,1,30,23
52,62,15,13,40,60,29,75,0,50,72
58,56,15,13,40,38,29,75,0,40,72
32,56,13,11,43,16,45,75,1,23,72
50,66,15,13,40,16,29,75,0,38,72
32,62,10,9,40,16,29,75,0,45,72
56,56,17,16,40,57,29,75,0,50,72
50,56,10,9,40,70,29,75,0,40,72
56,37,10,9,40,70,29,75,0,40,72
33,66,16,14,43,57,45,4,1,35,72
48,56,5,4,40,24,29,75,0,40,72
39,56,14,10,64,57,73,75,1,40,72
54,56,16,14,40,57,29,75,0,40,72
53,56,15,13,40,60,29,75,0,30,72
50,56,15,13,40,68,29,75,0,40,72
23,56,14,10,43,57,50,75,0,10,72
18,56,8,7,43,0,50,75,1,15,72
17,56,8,7,43,60,50,75,1,20,72
47,56,10,9,40,0,29,75,0,50,72
18,66,8,7,43,48,50,75,0,20,72
31,56,15,13,40,16,29,75,0,45,72
38,56,15,13,40,60,29,75,0,40,72
35,56,13,11,43,68,45,75,0,40,72
19,56,14,10,43,48,50,75,1,15,72
59,56,15,13,40,0,77,75,1,30,72
36,37,14,10,40,58,29,75,0,56,72
34,63,15,13,40,57,29,4,0,48,72
41,56,2,2,40,60,29,75,0,50,42
17,56,8,7,43,24,50,75,0,12,72
47,63,14,10,40,9,29,75,0,40,72
21,56,14,10,43,0,50,4,0,50,72
29,56,17,16,40,57,29,3,0,60,30
45,63,15,13,40,16,29,75,0,50,72
26,56,10,9,43,48,73,4,0,40,72
57,37,16,14,40,58,29,75,0,14,72
23,56,14,10,43,17,45,75,1,50,72
56,56,13,11,40,9,29,4,0,40,72
52,63,10,9,76,48,47,4,1,40,72
49,56,8,7,11,16,45,75,1,38,72
26,56,14,10,43,48,50,75,0,40,72
30,56,14,10,11,0,45,75,1,35,6
58,56,14,10,40,58,29,75,0,40,72
40,56,13,11,40,9,29,75,0,40,72
44,56,10,9,40,38,29,75,0,40,72
44,63,8,7,40,17,29,75,0,88,72
40,37,10,9,43,0,50,75,1,40,72
54,56,14,10,40,60,29,75,0,32,72
32,37,15,13,43,57,45,75,0,55,72
44,56,8,7,11,60,73,75,1,44,72
17,56,8,7,43,55,50,75,1,9,72
38,66,17,16,40,57,29,75,0,40,72
53,56,10,9,40,9,29,75,0,46,72
48,56,12,12,40,57,77,75,1,30,72
42,56,13,11,40,48,29,75,0,30,72
18,63,14,10,43,16,45,75,1,50,72
35,56,10,9,11,48,73,75,1,40,72
55,56,14,10,40,16,29,75,0,60,72
34,56,8,7,40,38,29,75,0,40,72
17,56,7,6,43,48,50,75,0,8,72
33,56,14,10,43,0,45,75,1,50,72
33,56,15,13,40,57,29,75,0,40,72
54,37,15,13,40,16,29,75,0,40,72
35,63,14,10,64,17,45,75,0,60,72
18,56,8,7,43,60,50,75,0,15,72
40,56,14,10,64,16,73,75,1,20,72
27,56,15,13,43,68,45,3,1,40,52
57,62,10,9,40,70,29,75,0,60,28
34,56,15,13,40,16,29,75,0,45,72
40,56,10,9,40,24,29,75,0,63,72
27,56,15,13,43,48,45,75,0,35,72
22,56,14,10,43,48,45,75,0,40,72
54,56,10,9,40,0,29,75,0,40,72
57,62,14,10,40,57,29,75,0,40,72
50,56,10,9,40,60,77,4,1,40,72
42,66,12,12,11,57,45,4,0,40,72
22,56,10,9,40,55,77,75,1,40,72
48,56,10,9,11,38,73,75,1,40,72
43,56,15,13,40,57,29,75,0,50,72
23,62,14,10,43,57,45,75,0,50,72
51,63,15,13,40,16,29,75,0,70,72
63,63,15,13,40,60,29,75,0,15,72
20,56,14,10,43,48,50,75,1,20,72
37,63,14,10,40,16,29,75,0,60,72
51,56,2,2,76,48,73,75,1,35,54
74,56,7,6,11,48,45,75,1,1,72
26,56,12,12,43,9,45,75,0,40,72
44,56,6,5,40,38,29,4,0,40,72
53,56,14,10,40,57,77,75,1,24,72
29,56,13,11,11,16,45,75,1,40,72
40,56,17,16,40,57,29,75,0,45,72
32,56,10,9,40,9,29,75,0,50,72
35,56,14,10,43,0,45,75,1,40,72
45,37,10,9,64,48,73,4,1,40,72
18,56,10,9,43,60,47,75,0,25,72
42,18,14,10,40,70,29,4,0,40,72
35,62,14,10,40,60,77,75,1,40,72
56,56,15,13,11,48,45,75,1,32,72
39,56,10,9,40,70,29,75,0,50,72
36,56,10,9,11,60,73,4,1,25,72
41,37,16,14,40,57,29,75,0,50,72
29,56,15,13,40,57,77,75,1,46,72
49,56,14,10,40,16,29,75,0,50,72
58,56,16,14,11,57,45,75,0,20,72
43,18,13,11,11,9,45,75,0,40,72
37,56,12,12,40,16,29,75,0,50,72
40,62,16,14,40,9,29,75,0,50,72
43,56,14,10,40,68,29,4,0,40,34
45,56,10,9,40,38,29,75,0,40,72
23,56,10,9,43,0,50,75,1,16,72
26,56,10,9,43,48,45,75,1,35,72
49,56,15,13,40,16,29,75,0,40,72
32,56,15,13,40,60,29,75,0,40,72
40,62,14,10,40,17,29,75,0,40,72
36,56,10,9,41,0,73,75,1,40,72
32,56,10,9,43,48,45,75,0,52,72
41,56,10,9,43,0,50,75,0,40,72
41,56,8,7,43,24,47,4,1,40,72
34,63,10,9,40,9,29,75,0,60,72
40,56,12,12,40,57,29,75,0,36,72
31,56,12,12,11,16,45,75,0,40,72
43,56,10,9,11,16,45,75,1,40,72
55,37,15,13,76,57,45,75,1,40,72
24,56,10,9,43,0,45,75,0,40,72
41,56,10,9,43,38,50,75,1,40,51
31,56,15,13,43,68,45,75,1,42,72
48,56,15,13,11,57,45,4,1,40,72
42,56,14,10,11,60,45,75,0,50,72
34,56,8,7,43,70,73,75,0,40,72
30,62,14,10,40,16,77,75,1,25,72
24,56,15,13,43,16,50,75,0,45,72
34,56,16,14,43,16,73,75,1,50,72
31,56,15,13,40,9,29,75,0,46,72
20,56,14,10,43,0,47,4,1,24,72
22,56,14,10,43,0,50,75,0,30,72
36,56,12,12,40,9,29,75,0,45,72
56,56,2,2,64,38,73,75,0,40,72
57,56,10,9,40,60,29,75,0,50,72
49,56,10,9,43,0,50,3,1,40,72
23,56,12,12,43,60,50,75,1,40,72
37,56,6,5,40,38,29,75,0,50,72
39,56,16,14,40,57,29,75,0,40,72
36,56,10,9,43,70,50,4,0,48,72
29,56,14,10,43,68,45,75,1,40,72
39,56,10,9,40,16,29,75,0,40,72
18,56,10,9,43,48,50,75,1,20,72
35,56,12,12,11,24,73,75,1,24,72
37,66,16,14,40,57,29,75,0,60,72
38,56,10,9,11,48,45,75,1,35,72
28,56,10,9,43,38,50,75,0,40,72
51,56,14,10,40,16,77,75,1,10,72
21,56,14,10,43,68,50,75,0,35,72
42,56,1,1,40,9,29,75,0,40,44
22,56,10,9,43,70,50,75,0,40,72
37,56,10,9,40,48,29,75,0,44,72
33,63,17,16,43,57,45,75,0,45,72
21,56,14,10,43,0,45,75,1,25,72
25,56,13,11,43,57,45,75,1,36,6
59,56,14,10,40,60,29,75,0,50,72
29,56,13,11,43,0,50,4,1,40,72
29,56,14,10,40,9,29,75,0,50,72
46,56,16,14,76,57,45,75,1,44,72
23,56,14,10,43,24,50,75,0,10,72
35,56,14,10,40,60,29,75,0,45,72
53,56,10,9,40,70,29,75,0,40,72
45,56,14,10,40,38,29,75,0,84,72
41,56,10,9,11,68,73,75,1,40,72
34,63,15,13,40,9,29,3,0,70,65
31,56,14,10,11,9,45,75,0,60,72
35,56,15,13,43,48,45,75,0,37,72
40,56,10,9,40,9,29,75,0,56,72
28,56,10,9,43,48,50,4,1,40,72
36,56,14,10,40,38,29,75,0,40,72
28,56,14,10,43,0,45,75,1,40,72
48,66,10,9,11,9,50,75,0,40,72
24,56,14,10,43,24,45,75,0,39,72
65,56,17,16,40,16,29,75,0,40,72
33,56,10,9,64,48,73,3,1,48,7
30,56,14,10,40,68,77,4,1,45,72
41,56,14,10,40,9,29,75,0,45,72
42,56,6,5,40,70,29,75,0,40,72
37,56,10,9,40,9,29,75,0,40,72
71,56,10,9,43,24,45,75,0,17,72
28,56,11,15,43,57,45,75,1,85,72
49,56,10,9,40,60,29,75,0,15,42
20,56,10,9,43,60,50,4,1,20,72
34,56,15,13,40,60,29,75,0,40,72
50,56,5,4,40,9,29,75,0,40,72
39,56,15,13,40,16,77,75,1,60,72
34,56,15,13,43,57,50,75,1,15,72
23,56,14,10,43,16,50,75,0,50,72
32,56,12,12,40,0,29,75,0,45,72
51,63,10,9,40,60,29,75,0,60,72
45,37,14,10,40,0,29,75,0,40,72
42,56,10,9,40,9,29,75,0,40,72
22,56,8,7,11,60,50,75,0,50,72
59,56,13,11,40,57,29,75,0,50,72
36,56,16,14,40,57,29,75,0,55,72
23,56,14,10,43,0,45,75,1,30,72
24,66,15,13,43,57,45,75,1,20,72
48,66,14,10,40,9,29,75,0,40,72
40,62,14,10,40,70,29,75,0,40,72
37,63,10,9,43,9,45,75,0,35,72
19,56,5,4,43,9,50,75,0,32,72
28,56,15,13,40,57,77,75,1,40,72
30,56,10,9,40,16,29,75,0,50,72
29,56,7,6,64,17,73,75,1,40,22
68,63,5,4,40,16,29,75,0,16,72
22,56,10,9,43,24,50,75,0,40,72
41,56,14,10,64,70,45,75,0,35,72
23,56,15,13,43,16,45,75,1,30,72
42,56,14,10,43,68,45,75,1,40,72
29,56,15,13,43,57,45,75,0,40,72
37,56,15,13,40,57,29,75,0,55,72
33,56,14,10,11,60,45,75,1,25,72
35,56,13,11,11,60,45,75,0,40,72
34,56,10,9,43,48,45,75,1,35,72
40,37,16,14,43,57,45,75,1,40,72
21,66,14,10,43,68,45,75,1,50,72
61,56,16,14,76,57,45,75,1,40,72
42,18,10,9,11,0,73,4,1,40,72
53,56,14,10,40,16,29,75,0,55,72
30,56,14,10,43,9,45,75,0,40,72
38,56,13,11,43,68,50,75,1,40,72
36,56,10,9,40,57,29,3,0,40,5
42,56,15,13,40,60,29,75,0,60,72
62,63,5,4,40,60,29,75,0,5,72
59,56,15,13,40,9,29,75,0,4,72
22,56,7,6,43,60,45,75,1,25,72
54,37,15,13,40,16,29,3,0,40,52
60,56,14,10,40,58,29,75,0,38,72
32,56,16,14,43,16,45,75,1,60,72
34,56,13,11,43,68,45,75,1,40,72
44,62,10,9,40,48,29,4,0,48,72
35,56,10,9,40,17,29,75,0,35,72
31,56,14,10,11,48,73,75,1,48,72
23,56,10,9,43,58,50,4,0,16,72
44,56,15,13,40,68,29,75,0,40,72
32,56,15,13,40,0,29,75,0,44,72
34,56,17,16,40,57,29,75,0,45,72
46,56,10,9,40,9,29,4,0,40,72
31,56,16,14,40,68,29,75,0,40,72
34,56,10,9,40,60,29,75,0,40,72
26,56,10,9,43,9,45,4,0,40,72
22,56,9,8,43,24,50,1,0,40,72
34,56,14,10,40,9,29,75,0,40,72
45,56,15,13,11,57,45,75,0,50,72
29,56,15,13,43,0,50,75,1,40,54
37,56,15,13,43,57,45,75,1,45,72
26,56,10,9,43,0,45,75,1,50,72
30,56,10,9,40,70,29,75,0,73,72
40,56,10,9,43,0,45,75,1,38,72
17,56,8,7,43,48,45,75,0,20,72
26,56,14,10,43,0,45,75,0,40,72
28,56,10,9,64,60,73,4,1,40,72
46,56,10,9,43,48,45,75,0,15,72
46,56,14,10,40,70,29,75,0,40,72
41,56,10,9,40,70,29,75,0,50,72
71,56,14,10,76,60,45,75,0,35,72
54,56,10,9,40,9,29,4,0,40,72
34,62,10,9,40,9,29,75,0,50,72
46,56,15,13,40,68,29,75,0,40,72
59,37,6,5,40,48,29,75,0,40,72
30,56,15,13,43,60,45,75,1,30,72
43,63,10,9,40,9,29,75,0,60,72
31,56,14,10,43,0,45,75,1,38,72
39,56,15,13,40,57,29,75,0,40,72
26,56,3,3,64,9,45,46,0,35,42
37,56,15,13,43,9,45,75,0,40,72
40,56,10,9,40,57,29,1,0,50,72
29,56,10,9,40,24,29,1,0,40,72
31,63,13,11,40,9,29,75,0,50,72
21,56,10,9,43,17,45,75,0,40,72
33,56,10,9,40,48,29,75,0,40,72
38,56,10,9,43,60,50,75,1,40,72
35,56,3,3,40,24,29,75,0,40,42
33,56,16,14,43,57,45,4,0,50,72
47,56,10,9,40,0,29,75,0,40,72
20,56,10,9,43,48,45,75,0,40,72
28,56,10,9,43,48,45,1,0,30,72
37,56,10,9,40,70,29,75,0,40,72
35,62,10,9,40,60,29,75,0,62,72
44,56,7,6,41,0,73,4,1,30,72
39,56,14,10,11,48,45,75,1,55,72
42,56,10,9,40,38,77,75,1,40,72
44,56,14,10,11,0,45,75,1,40,20
51,56,13,11,40,9,29,75,0,57,72
71,63,10,9,40,17,29,1,0,35,72
32,37,14,10,41,57,45,75,0,50,20
50,56,10,9,64,57,73,46,1,60,59
45,56,13,11,11,16,45,75,0,50,72
49,56,10,9,40,60,29,75,0,44,72
25,56,10,9,40,70,29,75,0,60,72
30,66,14,10,40,0,29,75,0,40,72
57,37,10,9,40,16,29,75,0,40,72
51,56,10,9,11,9,45,75,0,40,72
23,66,10,9,40,16,29,75,0,40,72
46,56,15,13,11,38,73,46,1,40,59
38,56,10,9,11,38,47,75,1,40,72
40,56,15,13,43,16,45,75,1,48,72
29,56,14,10,11,48,45,75,1,35,72
41,56,14,10,41,60,73,4,1,40,72
30,63,14,10,11,9,45,75,0,35,72
20,56,10,9,43,38,47,46,0,32,72
36,63,15,13,43,60,45,4,1,50,72
37,56,10,9,11,9,45,75,0,50,72
28,56,15,13,43,48,45,75,1,50,72
35,56,16,14,40,16,29,75,0,50,72
55,56,10,9,40,48,29,75,0,60,72
40,56,12,12,43,0,45,75,1,40,72
24,56,10,9,43,38,50,75,1,40,72
49,56,8,7,11,38,73,4,1,35,72
21,56,14,10,43,9,50,75,0,40,72
54,66,10,9,64,16,73,75,1,38,72
42,37,10,9,40,9,29,75,0,44,72
20,56,10,9,43,24,50,75,0,28,72
37,62,14,10,40,60,29,75,0,44,72
54,37,6,5,40,48,29,75,0,40,72
24,56,14,10,43,68,45,75,1,37,72
67,63,5,4,40,16,29,75,0,40,72
18,37,7,6,43,48,50,75,0,25,72
55,56,14,10,43,0,50,75,1,36,72
26,56,16,14,43,57,45,75,0,55,72
40,37,16,14,43,0,45,75,1,35,72
35,56,14,10,40,57,29,1,0,40,72
34,56,13,11,41,0,73,75,1,40,72
23,56,14,10,43,48,50,75,1,40,72
31,37,16,14,43,57,45,75,1,50,72
49,56,14,10,11,57,45,75,0,44,72
46,56,5,4,40,70,29,75,0,40,72
43,56,16,14,43,68,45,75,1,40,72
19,56,10,9,40,24,29,75,0,58,72
48,56,10,9,43,68,73,4,1,33,34
53,18,10,9,40,0,29,4,0,40,72
41,56,10,9,40,0,29,75,0,40,72
49,56,15,13,11,58,45,75,0,40,72
50,62,17,16,40,57,29,75,0,60,72
41,56,10,9,40,70,29,75,0,50,72
39,56,15,13,40,57,29,75,0,50,72
19,56,14,10,43,48,50,75,0,20,72
52,37,10,9,40,9,29,75,0,40,72
37,63,10,9,40,57,29,75,0,30,72
33,56,13,11,40,70,29,75,0,84,72
58,56,17,16,40,57,29,75,0,50,72
25,56,10,9,40,60,50,75,0,26,72
46,56,17,16,40,57,29,75,0,55,72
26,37,16,14,43,57,45,75,0,50,72
17,62,6,5,43,60,50,75,1,40,72
42,56,10,9,40,9,29,75,0,16,72
40,56,10,9,40,70,29,75,0,40,72
33,56,13,11,64,58,45,75,1,40,72
21,56,14,10,43,57,47,3,1,20,65
27,56,10,9,40,68,77,75,1,40,72
46,56,14,10,40,38,29,75,0,40,72
44,37,15,13,11,57,73,75,0,45,72
50,56,14,10,11,48,45,75,0,45,72
36,56,14,10,11,57,45,75,0,50,72
55,66,10,9,40,17,29,75,0,40,72
33,56,10,9,43,70,47,3,0,40,72
73,18,14,10,76,68,45,75,1,40,72
21,56,10,9,43,17,45,75,0,53,72
44,56,15,13,43,68,45,75,0,35,72
52,63,16,14,40,16,29,3,0,40,52
41,56,14,10,40,9,29,75,0,40,72
58,18,15,13,64,57,45,75,0,40,72
34,56,14,10,11,48,73,75,1,40,72
46,56,8,7,11,57,73,1,0,40,72
28,56,3,3,43,9,47,75,0,40,42
60,66,15,13,11,57,45,75,1,40,72
20,56,10,9,40,60,50,4,0,32,72
38,56,14,10,40,48,29,75,0,40,72
42,56,10,9,64,48,73,75,1,25,72
54,56,14,10,43,16,45,75,0,40,72
57,37,16,14,11,48,73,4,1,40,72
30,56,15,13,40,48,77,75,1,40,72
41,56,10,9,64,38,47,4,1,40,72
51,56,7,6,40,60,29,75,0,40,72
42,56,10,9,40,68,29,75,0,40,72
21,56,14,10,43,48,50,75,1,30,72
25,56,13,11,43,9,73,1,0,40,72
53,66,16,14,11,57,45,75,1,40,72
41,37,16,14,43,57,45,4,1,40,72
63,63,10,9,40,17,29,75,0,35,72
38,56,15,13,40,57,29,75,0,40,15
32,56,15,13,40,60,29,75,0,42,72
24,56,10,9,43,48,50,75,0,40,42
22,63,14,10,43,57,50,75,1,3,72
26,56,15,13,43,57,45,75,1,40,72
35,56,7,6,40,38,29,75,0,50,72
33,56,10,9,43,60,50,4,1,40,72
31,56,13,11,40,38,29,1,0,40,72
27,63,14,10,40,16,29,75,0,45,72
57,56,10,9,43,0,50,75,1,40,72
18,56,8,7,43,24,50,75,0,15,72
19,56,14,10,43,48,50,75,1,35,72
38,63,7,6,64,38,45,75,0,40,72
39,56,11,15,40,60,29,75,0,99,72
22,56,14,10,43,24,50,75,1,13,72
25,56,13,11,43,0,45,75,1,40,72
61,56,10,9,40,16,29,75,0,50,72
34,56,10,9,11,38,45,75,0,30,72
24,56,12,12,43,0,50,75,1,40,72
24,37,7,6,43,48,45,75,0,40,72
26,56,15,13,43,60,45,75,0,40,72
27,56,15,13,43,9,45,75,0,50,72
25,56,14,10,64,55,47,75,1,30,14
30,56,7,6,40,48,29,4,0,40,72
40,56,10,9,40,48,29,3,0,30,7
23,56,3,3,43,24,45,75,0,55,42
34,63,10,9,40,9,29,75,0,40,72
33,63,8,7,11,24,45,75,0,7,72
31,56,13,11,40,9,29,75,0,40,72
